en,Reality Show,2015-01-01,0,92
en,Super Hybrid,2010-01-01,0,95
en,Baghead,2008-01-21,0,84
pt,Solitude,2014-10-21,0,89
en,Chats perchés,2004-12-05,0,59
da,Ordet,1955-01-09,0,126
en,Good Dick,2008-10-03,0,86
en,The Man from Earth,2007-06-10,0,87
en,The Trials Of Darryl Hunt,2007-06-15,0,106
en,Samantha: An American Girl Holiday,2004-11-23,0,86
en,Yesterday Was a Lie,2008-01-01,0,89
en,Theresa Is a Mother,2015-09-25,0,105
en,H.,2014-08-28,0,93
en,Archaeology of a Woman,2014-09-12,0,94
fa,??????? ?????,1997-08-01,900000,89
en,Weekend,2011-09-22,469947,96
en,She's Gotta Have It,1986-08-08,0,84
en,Butterfly Girl,2014-03-10,0,77
ro,Lumea e a mea,2015-06-05,0,104
en,Another Earth,2011-07-22,1776935,92
en,Sweet Sweetback's Baadasssss Song,1971-04-23,15200000,97
en,Perfect Cowboy,2014-07-13,0,109
en,Tadpole,2002-11-01,2891288,78
en,Once,2007-03-23,20710513,85
en,The Woman Chaser,1999-10-08,0,90
en,The Horse Boy,2009-11-25,0,93
en,When the Lights Went Out,2012-01-31,0,86
en,Heroes of Dirt,2015-09-04,0,98
en,A Charlie Brown Christmas,1965-12-09,0,25
en,Antarctic Edge: 70° South,2015-04-17,0,72
en,Aroused,2013-02-20,0,73
en,Top Spin,2014-11-15,0,80
en,Roger & Me,1989-09-01,6706368,91
en,An American in Hollywood,2014-07-18,0,89
en,Sound of My Voice,2011-01-22,0,85
en,The Blood of My Brother: A Story of Death in Iraq,2005-11-25,0,90
en,Your Sister's Sister,2011-09-11,3200000,90
en,A Dog's Breakfast,2007-03-03,0,88
fr,Une femme mariée: Suite de fragments d'un film tourné en 1964,1964-12-04,0,95
en,The Birth of a Nation,2016-09-09,15861566,120
en,The Work and The Story,2003-01-01,0,70
en,Facing the Giants,2006-09-29,10178331,111
en,The Gallows,2015-07-10,42664410,87
en,Eraserhead,1977-03-19,7000000,89
en,Hollywood Shuffle,1987-03-20,0,78
en,The Mighty,1998-10-23,0,100
en,Penitentiary,1979-12-01,0,99
en,The Lost Skeleton of Cadavra,2001-09-12,0,90
en,Dude Where's My Dog?,2014-06-12,0,0
en,Cheap Thrills,2013-03-08,0,85
en,Indie Game: The Movie,2012-05-18,0,96
en,Straightheads,2007-04-27,0,88
en,Open Secret,1948-02-14,0,68
en,Echo Dr.,2013-11-08,0,85
en,The Night Visitor,1971-01-01,0,106
en,The Past Is a Grotesque Animal,2014-06-15,0,77
en,"Peace, Propaganda & the Promised Land",2005-01-28,0,80
en,Pi,1998-07-10,3221152,84
fr,"I Love You, Don't Touch Me!",1997-01-21,0,86
en,20 Dates,1998-01-01,0,87
en,Queen Crab,2015-09-29,0,90
en,Super Size Me,2004-01-17,28575078,100
en,The FP,2011-03-13,0,82
en,Happy Christmas,2014-06-26,0,82
en,The Brain That Wouldn't Die,1962-02-25,0,82
en,Tiger Orange,2014-07-26,0,75
en,Supporting Characters,2012-01-23,0,87
en,Absentia,2011-03-03,0,92
en,The Brothers McMullen,1995-08-09,0,98
en,The Dirties,2013-10-04,0,83
pt,"Gabriela, Cravo e Canela",1983-03-24,0,99
en,Tiny Furniture,2010-11-12,416498,99
en,Hayride,2012-10-13,0,93
en,The Naked Ape,2006-09-16,0,110
en,Counting,2015-02-09,0,111
en,The Call of Cthulhu,2005-01-01,0,47
en,Bending Steel,2013-04-20,0,93
en,The Signal,2014-03-15,600896,95
en,The Image Revolution,2013-11-21,0,81
en,This Is Martin Bonner,2013-06-28,0,83
en,A True Story,2013-09-20,0,96
en,George Washington,2000-10-01,0,89
en,Smiling Fish & Goat On Fire,1999-09-16,0,90
en,Dawn of the Crescent Moon,2014-04-05,0,95
en,Raymond Did It,2011-03-27,0,83
en,The Last Waltz,1978-05-01,321952,117
en,"Run, Hide, Die",2015-09-01,0,75
en,The Exploding Girl,2009-04-22,0,80
en,The Legend of God's Gun,2007-07-08,0,78
en,Mutual Appreciation,2005-03-01,0,109
en,Her Cry: La Llorona Investigation,2013-04-19,0,89
en,Down Terrace,2009-09-01,10000,89
en,Clerks,1994-09-13,3151130,92
en,Pink Narcissus,1971-01-01,0,64
en,Funny Ha Ha,2002-09-20,76901,85
en,In the Company of Men,1997-01-19,0,97
en,Manito,2002-01-15,0,78
en,Rampage,2009-08-14,0,85
en,Slacker,1990-07-27,0,97
en,Dutch Kills,2015-10-02,0,90
en,Dry Spell,2013-02-14,0,90
en,Flywheel,2003-01-01,0,120
en,Backmask,2015-01-16,0,91
en,The Puffy Chair,2005-01-17,0,85
en,Stories of Our Lives,2014-09-05,0,60
en,Breaking Upwards,2009-03-14,0,88
en,All Superheroes Must Die,2011-10-26,0,78
en,Pink Flamingos,1972-03-12,6000000,93
en,Clean,2004-09-01,0,111
fa,?????,2000-09-08,0,90
